ces_industry,employment,growth
80812900,363.70001,-44.624695
80812910,137,-49.343063
80812930,142.5,-50.807018
80812990,83.699997,-26.881718
80813000,3025.6001,-9.0461454
80813200,186.2,-6.4446831
80813211,108.6,-6.2615061
80813212,39.299999,.25445876
80813219,37.599998,-12.234039
80813300,241.2,-7.6699834
80813311,50.400002,-4.3650808
80813319,190.60001,-8.3945436
80813400,388.20001,-53.941269
80813900,485.60001,-8.1548615
80813910,116.6,-6.6895332
80813920,88.599998,-1.3543984
80813930,113.6,-16.637325
80813990,167.3,-7.5313845
90000000,22745,-4.308639
90910000,2867,.69759333
90911000,2265.3,.90495735
90916220,359.79999,-.80600166
90919110,553.40002,-.090350553
90919120,601.59998,-.049864992
90919999,1349.7,1.748544
90920000,5199,-3.9238315
90921611,2489.8999,-8.1529379
90922000,2709.3,-.062745035
90922622,393.29999,1.0424628
90922920,1830.3,-.054635849
90922999,484.39999,-.8464092
90930000,14679,-5.4227128
90931611,8042,-5.5869164
90932000,6636.7998,-5.2284236
90932221,248.10001,-.48368084
90932480,290.20001,-.24121715
90932622,694.79999,-1.899829
90932920,4295.2002,-4.3536968
90932999,1105.8,-13.194069
