Importance,Level,Code,Occupation
47,44,11-3051.06,Hydroelectric Production Managers
47,44,53-7121.00,"Tank Car, Truck, and Ship Loaders"
47,43,51-8099.01,Biofuels Processing Technicians
47,41,43-3041.00,Gaming Cage Workers
47,41,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
47,40,53-6011.00,Bridge and Lock Tenders
47,40,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
47,40,49-3043.00,Rail Car Repairers
47,40,49-3092.00,Recreational Vehicle Service Technicians
47,34,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
47,33,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
47,28,43-4041.01,Credit Authorizers
46,50,25-1081.00,"Education Teachers, Postsecondary"
46,48,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
46,46,25-1113.00,"Social Work Teachers, Postsecondary"
46,45,43-3021.01,Statement Clerks
46,44,35-1011.00,Chefs and Head Cooks
46,43,17-2111.03,Product Safety Engineers
46,43,11-3131.00,Training and Development Managers
46,42,25-1021.00,"Computer Science Teachers, Postsecondary"
46,41,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
46,40,27-2042.01,Singers
46,40,33-9093.00,Transportation Security Screeners
46,39,43-4071.00,File Clerks
46,39,25-4021.00,Librarians
46,36,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
46,35,51-8021.00,Stationary Engineers and Boiler Operators
45,46,11-3111.00,Compensation and Benefits Managers
45,46,33-3021.05,Immigration and Customs Inspectors
45,45,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
45,45,49-9044.00,Millwrights
45,44,39-7011.00,Tour Guides and Escorts
45,44,49-9081.00,Wind Turbine Service Technicians
45,43,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
45,43,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
45,42,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
45,41,11-9033.00,"Education Administrators, Postsecondary"
45,41,11-9071.00,Gaming Managers
45,41,47-4099.03,Weatherization Installers and Technicians
45,35,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
45,34,49-9021.02,Refrigeration Mechanics and Installers
45,33,51-9083.00,Ophthalmic Laboratory Technicians
45,30,51-3011.00,Bakers
45,29,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
44,53,27-2041.01,Music Directors
44,53,39-7012.00,Travel Guides
44,47,41-2022.00,Parts Salespersons
44,47,11-3071.02,Storage and Distribution Managers
44,46,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
