Importance,Level,Code,Occupation
78,69,53-6051.08,Freight and Cargo Inspectors
78,69,29-1024.00,Prosthodontists
78,69,17-3024.01,Robotics Technicians
78,69,15-1199.01,Software Quality Assurance Engineers and Testers
78,68,17-3029.02,Electrical Engineering Technologists
78,68,17-2071.00,Electrical Engineers
78,67,31-9093.00,Medical Equipment Preparers
78,67,19-1031.03,Park Naturalists
78,66,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
78,65,53-5021.02,"Mates- Ship, Boat, and Barge"
78,64,27-4011.00,Audio and Video Equipment Technicians
78,64,17-3022.00,Civil Engineering Technicians
78,64,41-3099.01,Energy Brokers
78,63,35-1011.00,Chefs and Head Cooks
78,63,49-9044.00,Millwrights
78,63,33-9021.00,Private Detectives and Investigators
78,63,43-3061.00,Procurement Clerks
78,62,51-9011.00,Chemical Equipment Operators and Tenders
78,62,43-4131.00,Loan Interviewers and Clerks
78,62,51-8031.00,Water and Wastewater Treatment Plant and System Operators
78,61,17-3025.00,Environmental Engineering Technicians
78,61,53-4011.00,Locomotive Engineers
78,61,33-2011.01,Municipal Firefighters
78,60,23-2093.00,"Title Examiners, Abstractors, and Searchers"
78,59,39-6012.00,Concierges
78,59,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
78,59,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
78,58,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
78,58,53-7071.00,Gas Compressor and Gas Pumping Station Operators
78,57,49-3091.00,Bicycle Repairers
78,57,53-3021.00,"Bus Drivers, Transit and Intercity"
78,57,53-7051.00,Industrial Truck and Tractor Operators
78,56,31-9091.00,Dental Assistants
78,56,21-1015.00,Rehabilitation Counselors
78,55,43-4121.00,"Library Assistants, Clerical"
78,55,51-9122.00,"Painters, Transportation Equipment"
78,54,43-4041.02,Credit Checkers
77,75,25-1021.00,"Computer Science Teachers, Postsecondary"
77,74,53-7041.00,Hoist and Winch Operators
77,74,13-1161.00,Market Research Analysts and Marketing Specialists
77,73,17-2199.09,Nanosystems Engineers
77,72,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
