zip_code,latitude,longitude,population_density,employment_density,plant_size,employment,teamwork_share,customer_share,presence_share,communication_share,affected_share,face2face_share
01612,42.306599,-71.920197,122,16,7.6999998,364,26,35,4,43,46,21
01613,42.293301,-71.802002,,,3.8,23,,,,,,
01615,42.2626,-71.802299,,,18.299999,55,,,,,,
01701,42.300701,-71.425499,711,717,16.700001,19029,31,33,5,50,55,24
01702,42.2822,-71.433899,1775,759,10.5,8112,22,29,8,39,46,21
01719,42.4884,-71.517799,188,184,10,964,31,24,7,42,48,18
01720,42.475101,-71.448303,418,193,10.5,6843,27,28,6,43,49,21
01721,42.253899,-71.458298,520,182,8,2959,23,34,8,45,52,26
01730,42.484299,-71.276802,373,582,21.4,10498,34,19,4,43,47,17
01731,42.456699,-71.279503,681,169,5.5,105,46,21,1,54,55,13
01740,42.436501,-71.607597,95,29,7.0999999,656,27,28,8,44,51,24
01741,42.528599,-71.351898,123,17,5.5999999,434,34,22,5,42,46,14
01742,42.456699,-71.374702,280,179,11.9,8330,32,31,3,48,50,20
01745,42.2934,-71.5028,384,210,4.6999998,14,46,21,1,54,55,13
01746,42.202599,-71.436096,281,111,10.5,3611,24,19,10,33,42,15
01747,42.126801,-71.537598,441,206,9.3999996,1094,21,20,12,30,40,14
01748,42.219002,-71.530197,219,245,11.2,4594,30,25,5,42,47,18
01749,42.3918,-71.560898,639,345,14.2,7033,21,20,8,34,41,18
01752,42.350899,-71.543404,712,793,16.799999,23357,25,28,8,42,49,22
01754,42.432098,-71.455002,748,222,8.5,2094,29,27,7,44,50,20
01756,42.096699,-71.549896,127,28,8,917,21,31,12,43,53,29
01757,42.1511,-71.527397,728,462,12.1,9034,23,26,9,39,47,20
01760,42.287498,-71.357399,855,577,13.4,16431,24,40,5,50,55,32
01770,42.233101,-71.3787,101,15,4.5999999,375,28,27,5,43,47,19
01772,42.2939,-71.531998,266,212,11.7,3526,30,27,5,44,48,18
01773,42.4217,-71.313698,145,50,5.8000002,594,33,32,4,48,51,18
01775,42.430801,-71.514999,147,33,5.6999998,641,28,28,8,44,51,22
01776,42.383701,-71.4282,281,110,8.3999996,4006,28,32,4,46,50,23
01778,42.348598,-71.358803,333,100,8,2496,26,36,4,49,53,28
01801,42.482899,-71.157402,1187,1532,18.6,37689,26,21,8,37,44,16
01803,42.5089,-71.200401,808,1544,28.299999,41318,35,25,3,49,52,23
01805,42.504799,-71.195602,,,282,1128,,,,,,
01810,42.649601,-71.156502,416,371,20.299999,18596,28,22,4,39,43,16
01821,42.551899,-71.251801,706,421,16.700001,11430,26,19,11,37,47,15
01824,42.591099,-71.355598,542,488,14.3,10376,25,27,6,40,46,21
01826,42.676399,-71.318604,551,125,8.1000004,4020,23,25,15,37,51,19
01827,42.673901,-71.495201,75,7,5.5,210,25,20,15,37,49,21
01830,42.785599,-71.072098,703,224,12.9,5284,23,38,4,44,48,27
01831,42.771099,-71.122101,,,2.5,10,,,,,,
01832,42.779202,-71.109497,750,186,11.2,3307,21,25,10,37,46,21
01833,42.7281,-70.982201,246,63,7.5,1212,24,29,10,41,49,23
01834,42.752998,-71.027,281,41,5.0999999,431,24,19,17,36,50,19
01835,42.7528,-71.084297,676,326,10.6,2833,20,17,10,30,38,14
01840,42.708,-71.163803,3668,5276,10.8,3024,20,24,6,33,39,16
01841,42.711498,-71.167,5903,809,7.6999998,2804,18,34,8,40,48,26
01842,42.707001,-71.163101,,,4.3000002,13,,,,,,
01843,42.691101,-71.1605,2799,1461,11.6,5147,20,23,12,34,46,18
01844,42.728001,-71.181,821,329,12,9879,21,35,8,44,52,29
01845,42.682598,-71.109001,416,279,12.2,9255,28,28,5,42,47,19
01850,42.655998,-71.305099,4327,421,7.8000002,653,17,49,5,56,61,43
01851,42.6315,-71.332901,3492,1441,11,4664,24,32,8,44,51,25
01852,42.634399,-71.298302,2612,1018,10.1,6780,19,30,6,38,44,22
01853,42.6334,-71.3162,,,5.3000002,16,,,,,,
01854,42.6493,-71.335503,2710,642,12.6,3272,25,33,4,42,46,23
01860,42.834599,-71.0047,289,38,6,369,27,30,9,46,53,23
01862,42.575699,-71.290199,427,410,14.5,5186,23,19,13,32,43,16
01863,42.634701,-71.3908,743,253,9.8000002,1776,30,29,6,43,49,18
01864,42.581902,-71.094704,438,257,10.3,4991,23,28,14,39,51,22
01867,42.528,-71.109001,931,330,8.6000004,4247,24,35,7,45,52,26
01876,42.602798,-71.223198,541,325,11.6,7887,23,29,10,41,50,24
01879,42.672401,-71.415802,260,118,9.8000002,2681,24,25,13,39,51,21
01880,42.5009,-71.068497,1383,869,14,11963,28,25,7,41,47,17
01885,42.707001,-71.063904,,,2.5,10,,,,,,
01886,42.586399,-71.440102,280,155,14,8125,32,27,5,48,53,20
01887,42.558102,-71.172302,508,609,16.4,12859,23,16,12,31,42,13
01890,42.452999,-71.144096,1369,504,9.1999998,4216,28,33,5,45,49,22
01901,42.461201,-70.946701,2634,12175,10.5,2375,19,36,5,44,48,27
01902,42.469799,-70.942001,7253,694,9.3000002,3571,22,31,7,38,44,22
01904,42.488899,-70.964699,1555,266,8.8999996,2291,21,37,6,45,50,29
01905,42.469398,-70.972801,2739,515,8.8000002,2660,19,36,12,43,55,30
01906,42.463299,-71.011101,953,411,12.6,9306,17,51,6,57,62,46
01907,42.474602,-70.909798,1784,468,7.5999999,2188,23,37,6,47,52,29
01908,42.426102,-70.927696,1259,106,5.6999998,130,24,35,7,47,53,30
01910,42.4548,-70.974701,,,4.6999998,14,,,,,,
01913,42.8559,-70.936699,513,167,8,2955,24,29,7,41,47,22
01915,42.560799,-70.8759,1011,691,13.9,16130,28,30,4,43,47,20
01921,42.679699,-71.011398,130,16,6.3000002,723,29,23,9,40,47,19
01922,42.756802,-70.935097,125,17,6.1999998,211,33,22,9,42,49,17
01923,42.569401,-70.942497,770,929,18.4,18391,21,38,5,46,51,30
01929,42.628601,-70.782799,97,35,8,855,20,27,9,38,46,24
01930,42.6208,-70.672096,424,159,8.6000004,7093,18,30,8,39,46,24
01931,42.615898,-70.662003,,,3.5,21,,,,,,
01938,42.680901,-70.849403,167,61,8.6000004,2870,22,28,8,39,46,22
01940,42.5327,-71.033897,443,241,9.3999996,3688,26,34,7,47,53,27
01944,42.579601,-70.767403,215,71,6.0999999,866,26,32,6,45,50,23
01945,42.498402,-70.865303,1744,443,7.0999999,3576,24,29,7,42,48,22
01949,42.5942,-71.013,258,137,8.8000002,2685,22,32,10,43,51,26
01950,42.813,-70.884697,805,583,10.7,7405,23,28,5,41,46,22
01951,42.783501,-70.847397,100,16,6.0999999,372,26,37,8,50,57,29
01952,42.8507,-70.858803,207,90,9,2050,18,28,16,38,52,26
01960,42.5326,-70.961197,1230,667,12.4,17007,22,30,9,41,49,24
01961,42.635399,-70.879097,,,8.1999998,41,,,,,,
01965,42.558102,-70.825699,,,18.299999,55,,,,,,
01966,42.658001,-70.6194,384,52,4.6999998,735,25,35,5,49,53,30
01969,42.713799,-70.906998,129,71,9,1729,21,25,11,36,45,20
01970,42.515099,-70.900299,1957,759,9.6999998,10418,22,34,7,44,50,27
01982,42.6185,-70.856102,211,40,7,759,28,37,3,50,53,26
01983,42.641499,-70.948799,197,88,7.4000001,1542,27,25,8,40,47,17
01984,42.6017,-70.878601,246,41,6.3000002,418,30,33,5,45,49,22
01985,42.794899,-70.977798,122,20,5.9000001,311,25,24,8,37,44,19
02019,42.0746,-71.476799,344,141,10.1,3681,19,36,12,45,56,32
02021,42.164501,-71.135498,443,530,15.9,13767,25,19,15,35,48,15
02025,42.239498,-70.812798,297,118,7.4000001,1711,23,38,6,49,55,30
02026,42.243698,-71.163696,931,641,13.3,11076,26,38,5,50,55,29
02027,42.18,-71.089203,,,5.8000002,58,,,,,,
02030,42.236198,-71.2854,143,20,5.5999999,516,36,29,4,45,48,12
02032,42.153198,-71.217903,697,433,6.9000001,672,21,27,8,38,45,22
02035,42.064899,-71.244102,328,347,12.8,7379,26,30,9,44,53,22
02038,42.093498,-71.4058,459,255,12.8,10042,22,25,9,38,46,19
02043,42.224499,-70.891098,386,266,12.4,9925,24,35,6,46,52,27
02045,42.285301,-70.875397,1495,137,5.3000002,666,21,37,7,49,55,33
02048,42.021198,-71.217796,446,236,11.2,6205,23,28,8,41,48,22
02050,42.106201,-70.699303,338,73,8.3000002,3874,22,33,11,44,54,27
02051,42.151199,-70.7341,,,4.3000002,13,,,,,,
02052,42.184502,-71.304802,322,87,7.5999999,2040,23,32,6,43,49,25
02053,42.151402,-71.4217,427,129,7.8000002,2204,22,33,6,42,47,25
02054,42.166901,-71.360703,253,58,7.4000001,1206,23,33,7,43,49,27
02056,42.117699,-71.326897,285,70,7.0999999,1463,26,25,14,40,52,19
02061,42.159599,-70.821701,194,223,13.9,7829,31,25,10,44,53,16
02062,42.186798,-71.2033,1066,1133,16.5,16961,27,28,8,43,50,20
02066,42.203201,-70.752502,403,73,8.1999998,2601,24,37,5,47,52,28
02067,42.109402,-71.175903,298,59,6.3000002,1934,28,31,5,44,48,19
02071,42.099201,-71.2752,679,53,4.8000002,29,27,9,36,27,56,13
02072,42.125301,-71.107399,648,386,11.1,9395,21,32,11,42,52,27
